"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-69278","Cell Cycle, Mitotic","97/1226","499/8772",0.000316583577609208,0.0182314895576126,0.0160546099109561,"Dna2/Cdc25b/Cdkn1b/Numa1/Pds5b/Optn/Ccnd2/Mad1l1/Nup133/Sdccag8/Vrk1/Cep290/Skp2/Hdac8/Cep78/Phlda1/Jak2/Rbl1/Espl1/Cep250/Pole/Ncapd2/Ccnd3/Cdc23/H4f16/Cdk5rap2/Ncapd3/Psmb6/E2f2/Wee1/Mcm7/Pole2/Ncapg2/Zw10/Lpin1/Mcph1/Haus5/H2afx/H4c9/Anapc1/Akap9/Rb1/E2f1/Tuba1c/Rbl2/Alms1/Pold1/Nup210/H3f3b/Arpp19/Psmd8/Aaas/Cdk2/Gins2/Cenpo/Ppp1r12b/Clasp1/Gins4/Vrk2/Kif23/Cdk1/H3c4/Prkca/Psmd12/Esco2/H2afv/Rfc1/Pcnt/Pola1/Lig1/Cep192/Psmd3/Gmnn/Cep152/Clasp2/Rfc2/H2bc4/Nup54/Gorasp1/Psmd7/Psmd10/Haus4/Nde1/Bub1b/Tubgcp6/Nup155/Rfc4/Clip1/Psmd2/Anapc15/Cdc6/H4c14/Hsp90aa1/Tubb4b/Tuba1a/E2f5/H2bc12",97
"R-MMU-166016","Toll Like Receptor 4 (TLR4) Cascade","28/1226","104/8772",0.000354319915420862,0.0192710665109458,0.0169700591069992,"Nfkb2/Nfkb1/Nfkbia/Nfkbib/Tank/Mapkapk2/Rela/Traf3/Map3k8/Mapk14/Map2k3/Dusp7/Birc3/Peli2/Tbk1/Rps6ka1/Cd14/Cd180/Plcg2/Ube2n/Traf6/Map2k6/Irf7/Tab1/Birc2/Ecsit/Irak2/Fadd",28
"R-MMU-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","23/1226","80/8772",0.000423415400029938,0.0218170356120689,0.0192120339404166,"Nfkb2/Nfkb1/Nfkbia/Nfkbib/Mapkapk2/Rela/Map3k8/Mapk14/Map2k3/Dusp7/Peli2/Rps6ka1/Cd14/Ube2n/Tlr7/Myd88/Traf6/Map2k6/Tlr8/Tab1/Ecsit/Irak2/Irak4",23
"R-MMU-983231","Factors involved in megakaryocyte development and platelet production","31/1226","121/8772",0.000454195204999141,0.0222328552847079,0.0195782038365419,"Dock8/Maff/Ehd1/Jak2/Kif13b/Itpk1/Dock1/Kif16b/Dock4/Phf21a/Vps45/Klc4/Mafg/Sh2b3/Tuba1c/Dock2/H3f3b/Cbx5/Kif23/H3c4/Kifap3/Kif3b/Rcor1/Kif20b/Dock11/Kif3a/Kif21b/Kif1b/Kif18b/Tubb4b/Tuba1a",31
"R-MMU-166166","MyD88-independent TLR4 cascade ","24/1226","88/8772",0.000746014106596832,0.0323932397235943,0.0285254161965741,"Nfkb2/Nfkb1/Nfkbia/Nfkbib/Tank/Mapkapk2/Rela/Traf3/Map3k8/Mapk14/Map2k3/Dusp7/Birc3/Tbk1/Rps6ka1/Cd14/Ube2n/Traf6/Map2k6/Irf7/Tab1/Birc2/Irak2/Fadd",24
"R-MMU-937061","TRIF(TICAM1)-mediated TLR4 signaling ","24/1226","88/8772",0.000746014106596832,0.0323932397235943,0.0285254161965741,"Nfkb2/Nfkb1/Nfkbia/Nfkbib/Tank/Mapkapk2/Rela/Traf3/Map3k8/Mapk14/Map2k3/Dusp7/Birc3/Tbk1/Rps6ka1/Cd14/Ube2n/Traf6/Map2k6/Irf7/Tab1/Birc2/Irak2/Fadd",24
"R-MMU-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","15/1226","45/8772",0.000782532385695145,0.0323932397235943,0.0285254161965741,"Tnfaip3/Casp4/Nlrp3/P2rx7/Mapk14/Birc3/Ube2n/Traf6/Map2k6/Tab1/Birc2/Casp2/Nlrp1a/Irak2/Panx1",15
"R-MMU-5693537","Resolution of D-Loop Structures","12/1226","32/8772",0.000794114150527337,0.0323932397235943,0.0285254161965741,"Dna2/Slx1b/Atm/Wrn/Rtel1/Spidr/Brca1/Blm/Brca2/Rad51d/Mre11a/Gen1",12
"R-MMU-1660514","Synthesis of PIPs at the Golgi membrane","8/1226","17/8772",0.00106867223219101,0.0418492046126,0.0368523182385027,"Pik3c3/Inpp5e/Pikfyve/Pik3r4/Fig4/Sacm1l/Pi4k2a/Vac14",8
"R-MMU-112409","RAF-independent MAPK1/3 activation","9/1226","21/8772",0.00119082412741027,0.0448391084897945,0.0394852210667617,"Il6/Dusp16/Jak2/Il6ra/Dusp7/Il6st/Dusp2/Cdk1/Tyk2",9
